01;Luxembourg                              ;LUXEMBOURG                              ;27.01.2009;00;O
01;Bascharage                              ;BASCHARAGE                              ;27.01.2009;02;N
02;Clemency                                ;CLEMENCY                                ;27.01.2009;02;N
03;Dippach                                 ;DIPPACH                                 ;27.01.2009;02;O
04;Garnich                                 ;GARNICH                                 ;27.01.2009;02;O
05;Hobscheid                               ;HOBSCHEID                               ;27.01.2009;02;N
06;Kehlen                                  ;KEHLEN                                  ;27.01.2009;02;O
07;Koerich                                 ;KOERICH                                 ;27.01.2009;02;O
08;Kopstal                                 ;KOPSTAL                                 ;27.01.2009;02;O
09;Mamer                                   ;MAMER                                   ;27.01.2009;02;O
10;Septfontaines                           ;SEPTFONTAINES                           ;27.01.2009;02;N
11;Steinfort                               ;STEINFORT                               ;27.01.2009;02;O
12;Käerjeng                                ;KAERJENG                                ;01.01.2012;02;O
13;Habscht                                 ;HABSCHT                                 ;18.10.2017;02;O
01;Bettembourg                             ;BETTEMBOURG                             ;27.01.2009;03;O
02;Differdange                             ;DIFFERDANGE                             ;04.12.2015;03;O
03;Dudelange                               ;DUDELANGE                               ;27.01.2009;03;O
04;Esch-sur-Alzette                        ;ESCH-SUR-ALZETTE                        ;27.01.2009;03;O
05;Frisange                                ;FRISANGE                                ;27.01.2009;03;O
06;Kayl                                    ;KAYL                                    ;04.12.2015;03;O
07;Leudelange                              ;LEUDELANGE                              ;27.01.2009;03;O
08;Mondercange                             ;MONDERCANGE                             ;27.01.2009;03;O
09;Pétange                                 ;PETANGE                                 ;14.12.2011;03;O
10;Reckange-sur-Mess                       ;RECKANGE-SUR-MESS                       ;04.12.2015;03;O
11;Roeser                                  ;ROESER                                  ;27.01.2009;03;O
12;Rumelange                               ;RUMELANGE                               ;27.01.2009;03;O
13;Sanem                                   ;SANEM                                   ;27.01.2009;03;O
14;Schifflange                             ;SCHIFFLANGE                             ;27.01.2009;03;O
01;Bertrange                               ;BERTRANGE                               ;27.01.2009;04;O
02;Contern                                 ;CONTERN                                 ;04.12.2015;04;O
03;Hesperange                              ;HESPERANGE                              ;27.01.2009;04;O
04;Niederanven                             ;NIEDERANVEN                             ;27.01.2009;04;O
05;Sandweiler                              ;SANDWEILER                              ;27.01.2009;04;O
06;Schuttrange                             ;SCHUTTRANGE                             ;27.01.2009;04;O
07;Steinsel                                ;STEINSEL                                ;27.01.2009;04;O
08;Strassen                                ;STRASSEN                                ;27.01.2009;04;O
09;Walferdange                             ;WALFERDANGE                             ;27.01.2009;04;O
10;Weiler-la-Tour                          ;WEILER-LA-TOUR                          ;04.12.2015;04;O
01;Colmar-Berg                             ;COLMAR-BERG                             ;04.12.2015;05;O
02;Bissen                                  ;BISSEN                                  ;27.01.2009;05;O
03;Boevange-sur-Attert                     ;BOEVANGE-SUR-ATTERT                     ;04.12.2015;05;N
04;Fischbach                               ;FISCHBACH                               ;04.12.2015;05;O
05;Heffingen                               ;HEFFINGEN                               ;27.01.2009;05;O
06;Larochette                              ;LAROCHETTE                              ;04.12.2015;05;O
07;Lintgen                                 ;LINTGEN                                 ;27.01.2009;05;O
