00001;Ale Wee                                 ;ALE WEE                                 ;ALE       ;11009; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;ALE WEE                       
00576;Rue Richard Coudenhove-Kalergi          ;RUE RICHARD COUDENHOVE-KALERGI          ;COUDENHOVE;21554; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE RICHARD COUDENHOVE-KALERGI
00577;Rue Richard Wagner                      ;RUE RICHARD WAGNER                      ;WAGNER    ;61068; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE RICHARD WAGNER            
00578;Rue Robert Bruch                        ;RUE ROBERT BRUCH                        ;BRUCH     ;11085; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE ROBERT BRUCH              
00579;Rue Robert Stumper                      ;RUE ROBERT STUMPER                      ;STUMPER   ;11220; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE ROBERT STUMPER            
00580;Rue Ry Boissaux                         ;RUE RY BOISSAUX                         ;BOISSAUX  ;10759; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE RY BOISSAUX               
00581;Rue Sainte Thérèse d'Avila              ;RUE SAINTE THERESE D'AVILA              ;AVILA     ;10443; ;N;          ;?;02.07.2014;  ;?;    ;?;00001; ;N;RUE SAINTE THERESE D'AVILA    
00583;Rue Schetzel                            ;RUE SCHETZEL                            ;SCHETZEL  ;51097; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE SCHETZEL                  
00584;Rue Schiller                            ;RUE SCHILLER                            ;SCHILLER  ;51098; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE SCHILLER                  
00585;Rue Mathieu Lambert Schrobilgen         ;RUE MATHIEU LAMBERT SCHROBILGEN         ;SCHROBILGE;61004; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE MATHIEU L. SCHROBILGEN    
00586;Rue S. G. Thomas                        ;RUE S. G. THOMAS                        ;THOMAS    ;61038; ;N;          ;?;18.09.2009;  ;?;    ;?;00001; ;N;Rue S. G. Thomas              
00587;Rue Sigefroi                            ;RUE SIGEFROI                            ;SIGEFROI  ;61015; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE SIGEFROI                  
00588;Rue Siggy vu Lëtzebuerg                 ;RUE SIGGY VU LETZEBUERG                 ;SIGGY     ;91044; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE SIGGY VU LETZEBUERG       
00589;Rue Sigismond                           ;RUE SIGISMOND                           ;SIGISMOND ;61016; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE SIGISMOND                 
00590;Rue Sosthene Weis                       ;RUE SOSTHENE WEIS                       ;WEIS      ;61077; ;N;          ;?;04.02.2003;  ;?;    ;?;00001; ;N;RUE SOSTHENE WEIS             
00591;Rue St Fiacre                           ;RUE ST FIACRE                           ;FIACRE    ;21090; ;N;          ;?;18.09.2009;  ;?;    ;?;00001; ;N;Rue St Fiacre                 
